R_AB,E_VQE_sim_id,E_HF,E_qiskit_tot,E_exacta
5.999999999999990E-01,-2.768936942362910E+00,-2.760305261155220E+00,-2.770009377893860E+00,-2.770009377935120E+00
6.101010101010100E-01,-2.776984875303900E+00,-2.768744047730710E+00,-2.778488587969070E+00,-2.778488588008520E+00
6.202020202020200E-01,-2.786127430320700E+00,-2.776558141103250E+00,-2.786337443703270E+00,-2.786337913560890E+00
6.303030303030300E-01,-2.791588783127780E+00,-2.783789060787440E+00,-2.793598349173230E+00,-2.793598778206830E+00
6.404040404040400E-01,-2.798908429556590E+00,-2.790475450001480E+00,-2.800309348279590E+00,-2.800309738232430E+00
6.505050505050500E-01,-2.805417729537870E+00,-2.796653288478840E+00,-2.806506343034940E+00,-2.806506695768930E+00
6.606060606060600E-01,-2.811361576543700E+00,-2.802356087873280E+00,-2.812222777201920E+00,-2.812223094494070E+00
6.707070707070700E-01,-2.816258565120880E+00,-2.807615071591460E+00,-2.817489815987150E+00,-2.817490099702130E+00
6.808080808080800E-01,-2.820838081769230E+00,-2.812459340628030E+00,-2.822336512250170E+00,-2.822336764324100E+00
6.909090909090900E-01,-2.825437615030940E+00,-2.816916026757300E+00,-2.826789959888750E+00,-2.826790182258750E+00
7.010101010101000E-01,-2.830988555091830E+00,-2.821010434249850E+00,-2.830875435552790E+00,-2.830875630189660E+00
7.111111111111110E-01,-2.832942208463890E+00,-2.824766171125180E+00,-2.834616530015810E+00,-2.834616698905040E+00
7.212121212121210E-01,-2.837632033751870E+00,-2.828205270819730E+00,-2.838035269921790E+00,-2.838035415005420E+00
7.313131313131310E-01,-2.839755281593120E+00,-2.831348305039040E+00,-2.841152230532770E+00,-2.841152353772470E+00
7.414141414141410E-01,-2.843044066565350E+00,-2.834214488470460E+00,-2.843986640534620E+00,-2.843986743879350E+00
7.515151515151510E-01,-2.846420734320810E+00,-2.836821775955860E+00,-2.846556479208640E+00,-2.846556564544930E+00
7.616161616161610E-01,-2.848688114636120E+00,-2.839186952660120E+00,-2.848878566456510E+00,-2.848878635669860E+00
7.717171717171710E-01,-2.851038949435200E+00,-2.841325717719070E+00,-2.850968646503950E+00,-2.850968701438970E+00
7.818181818181810E-01,-2.852425445180280E+00,-2.843252761803920E+00,-2.852841465333570E+00,-2.852841507827640E+00
7.919191919191910E-01,-2.852874099531640E+00,-2.844981839006260E+00,-2.854510842667750E+00,-2.854510874415420E+00
8.020202020202020E-01,-2.856453102791520E+00,-2.846525833414580E+00,-2.855989738184410E+00,-2.855989760876800E+00
8.121212121212120E-01,-2.856617754506600E+00,-2.847896820729220E+00,-2.857290313224740E+00,-2.857290328493970E+00
8.222222222222220E-01,-2.857334996747230E+00,-2.849106125240340E+00,-2.858423987587070E+00,-2.858423997014160E+00
8.323232323232320E-01,-2.859170967639180E+00,-2.850164372475410E+00,-2.859401492096370E+00,-2.859401497155220E+00
8.424242424242420E-01,-2.858795869923200E+00,-2.851081537805940E+00,-2.860232916951770E+00,-2.860232919046530E+00
8.525252525252520E-01,-2.860530184311210E+00,-2.851866991289620E+00,-2.860927756409100E+00,-2.860927756878480E+00
8.626262626262620E-01,-2.859384586232720E+00,-2.852529539009680E+00,-2.861494949922560E+00,-2.861494950019790E+00
8.727272727272720E-01,-2.859763845776590E+00,-2.853077461162040E+00,-2.861942919965650E+00,-2.861942920850590E+00
8.828282828282820E-01,-2.860527171677590E+00,-2.853518547128450E+00,-2.862279606805910E+00,-2.862279609547300E+00
8.929292929292920E-01,-2.862237709655820E+00,-2.853860127762720E+00,-2.862512500476220E+00,-2.862512506044790E+00
9.030303030303030E-01,-2.862099915676290E+00,-2.854109105106060E+00,-2.862648595641540E+00,-2.862648679390660E+00
9.131313131313130E-01,-2.861321199707150E+00,-2.854271979736460E+00,-2.862694721938300E+00,-2.862694804695620E+00
9.232323232323230E-01,-2.862064850037740E+00,-2.854354875946000E+00,-2.862657106383500E+00,-2.862657187874220E+00
9.333333333333330E-01,-2.861775844886880E+00,-2.854363564928950E+00,-2.862541708353100E+00,-2.862541788359050E+00
9.434343434343430E-01,-2.861699667889420E+00,-2.854303486152660E+00,-2.862354161689500E+00,-2.862354239961920E+00
9.535353535353530E-01,-2.861331433368790E+00,-2.854179767068580E+00,-2.862099793729300E+00,-2.862099870044600E+00
9.636363636363630E-01,-2.862030635311060E+00,-2.853997241335950E+00,-2.861783643014750E+00,-2.861783717151760E+00
9.737373737373730E-01,-2.860646356189870E+00,-2.853760465640010E+00,-2.861410475457350E+00,-2.861410547248350E+00
9.838383838383830E-01,-2.858769809600140E+00,-2.853473735311230E+00,-2.860984799413840E+00,-2.860984868693350E+00
9.939393939393930E-01,-2.860864712854140E+00,-2.853141098804800E+00,-2.860510879482890E+00,-2.860510946072680E+00
1.004040404040400E+00,-2.859711988361000E+00,-2.852766371172280E+00,-2.859992749205750E+00,-2.859992813003010E+00
1.014141414141410E+00,-2.858101255295630E+00,-2.852353146620310E+00,-2.859434223116340E+00,-2.859434284010290E+00
1.024242424242420E+00,-2.857521111364140E+00,-2.851904810245410E+00,-2.858838907671630E+00,-2.858838965576350E+00
1.034343434343430E+00,-2.856274961504970E+00,-2.851424549025280E+00,-2.858210211592730E+00,-2.858210266439280E+00
1.044444444444440E+00,-2.857338831710320E+00,-2.850915362138770E+00,-2.857551355437270E+00,-2.857551407224170E+00
1.054545454545450E+00,-2.855577807164600E+00,-2.850380070678630E+00,-2.856865380794070E+00,-2.856865429473390E+00
1.064646464646460E+00,-2.856007801630480E+00,-2.849821326814180E+00,-2.856155158563620E+00,-2.856155204138180E+00
1.074747474747470E+00,-2.854841599569700E+00,-2.849241622454070E+00,-2.855423397044090E+00,-2.855423439586040E+00
1.084848484848480E+00,-2.853603111103930E+00,-2.848643297453280E+00,-2.854672649636410E+00,-2.854672689172540E+00
1.094949494949490E+00,-2.853358749837120E+00,-2.848028547402990E+00,-2.853905321820930E+00,-2.853905358419790E+00
1.105050505050500E+00,-2.852125741884800E+00,-2.847399431036670E+00,-2.853123678107650E+00,-2.853123711838880E+00
1.115151515151510E+00,-2.849955748475980E+00,-2.846757877281620E+00,-2.852329848442760E+00,-2.852329879428310E+00
1.125252525252520E+00,-2.851474003879610E+00,-2.846105691980850E+00,-2.851525834551700E+00,-2.851525862876380E+00
1.135353535353530E+00,-2.849142613859470E+00,-2.845444564307010E+00,-2.850713515716770E+00,-2.850713541491440E+00
1.145454545454540E+00,-2.849789936811270E+00,-2.844776072886640E+00,-2.849894654495140E+00,-2.849894677880400E+00
1.155555555555550E+00,-2.849294189438210E+00,-2.844101691650890E+00,-2.849070902326900E+00,-2.849070923392900E+00
1.165656565656560E+00,-2.847020141966310E+00,-2.843422795426410E+00,-2.848243804396770E+00,-2.848243823346190E+00
1.175757575757570E+00,-2.846340138348230E+00,-2.842740665277980E+00,-2.847414805091310E+00,-2.847414822042860E+00
1.185858585858580E+00,-2.846311832986350E+00,-2.842056493613520E+00,-2.846585252506440E+00,-2.846585267592350E+00
1.195959595959590E+00,-2.844555720109880E+00,-2.841371389060220E+00,-2.845756403177130E+00,-2.845756416545040E+00
1.206060606060600E+00,-2.845026477442050E+00,-2.840686381120100E+00,-2.844929426577460E+00,-2.844929438346670E+00
1.216161616161610E+00,-2.843869881395420E+00,-2.840002424612000E+00,-2.844105409290660E+00,-2.844105419619670E+00
1.226262626262620E+00,-2.842679973928660E+00,-2.839320403906950E+00,-2.843285359253260E+00,-2.843285368277060E+00
1.236363636363630E+00,-2.842237357679250E+00,-2.838641136962990E+00,-2.842470209651780E+00,-2.842470217474080E+00
1.246464646464640E+00,-2.841109685524120E+00,-2.837965379165370E+00,-2.841660822655490E+00,-2.841660829401980E+00
1.256565656565650E+00,-2.837558034504240E+00,-2.837293826978100E+00,-2.840857993134470E+00,-2.840857998928260E+00
1.266666666666660E+00,-2.839816888225510E+00,-2.836627121412260E+00,-2.840062452137440E+00,-2.840062457087260E+00
1.276767676767670E+00,-2.839972069399820E+00,-2.835965851316870E+00,-2.839274870228080E+00,-2.839274874424930E+00
1.286868686868680E+00,-2.837607871026280E+00,-2.835310556497920E+00,-2.838495860669400E+00,-2.838495864201430E+00
1.296969696969690E+00,-2.836531984338500E+00,-2.834661730671240E+00,-2.837725982508300E+00,-2.837725985455450E+00
1.307070707070700E+00,-2.836193495664740E+00,-2.834019824254950E+00,-2.836965743482160E+00,-2.836965745933820E+00
