R_AB,E_VQE_sim_id,E_HF,E_qiskit_tot,E_exacta
8.000000000000000000000000000000E-01,-2.854612393044440000000000000000E+00,-2.846231250354710000000000000000E+00,-2.855708602864940000000000000000E+00,-2.855708627228010000000000000000E+00
8.030303030303030000000000000000E-01,-2.855440384046540000000000000000E+00,-2.846670524905280000000000000000E+00,-2.856127626052440000000000000000E+00,-2.856127647928450000000000000000E+00
8.060606060606060000000000000000E-01,-2.855515922699220000000000000000E+00,-2.847094338785410000000000000000E+00,-2.856530711120310000000000000000E+00,-2.856530730652890000000000000000E+00
8.090909090909090000000000000000E-01,-2.857033314026860000000000000000E+00,-2.847503002520470000000000000000E+00,-2.856918171120250000000000000000E+00,-2.856918188438140000000000000000E+00
8.121212121212120000000000000000E-01,-2.856242887970880000000000000000E+00,-2.847896820729220000000000000000E+00,-2.857290313224740000000000000000E+00,-2.857290328493970000000000000000E+00
8.151515151515150000000000000000E-01,-2.856433591210130000000000000000E+00,-2.848276092251110000000000000000E+00,-2.857647438986830000000000000000E+00,-2.857647452330080000000000000000E+00
8.181818181818180000000000000000E-01,-2.856119322207980000000000000000E+00,-2.848641110270600000000000000000E+00,-2.857989844305220000000000000000E+00,-2.857989855880030000000000000000E+00
8.212121212121210000000000000000E-01,-2.857441312100500000000000000000E+00,-2.848992162438430000000000000000E+00,-2.858317819687720000000000000000E+00,-2.858317829622200000000000000000E+00
8.242424242424240000000000000000E-01,-2.858558826492140000000000000000E+00,-2.849329530990200000000000000000E+00,-2.858631650269420000000000000000E+00,-2.858631658697850000000000000000E+00
8.272727272727270000000000000000E-01,-2.857775330666870000000000000000E+00,-2.849653492861850000000000000000E+00,-2.858931615978950000000000000000E+00,-2.858931623026310000000000000000E+00
8.303030303030300000000000000000E-01,-2.860088840163900000000000000000E+00,-2.849964319802710000000000000000E+00,-2.859217991612020000000000000000E+00,-2.859217997417500000000000000000E+00
8.333333333333330000000000000000E-01,-2.857507989697940000000000000000E+00,-2.850262278485530000000000000000E+00,-2.859491046993560000000000000000E+00,-2.859491051681570000000000000000E+00
8.363636363636360000000000000000E-01,-2.859319476295100000000000000000E+00,-2.850547630614120000000000000000E+00,-2.859751047040030000000000000000E+00,-2.859751050736000000000000000000E+00
8.393939393939390000000000000000E-01,-2.858839456674810000000000000000E+00,-2.850820633028230000000000000000E+00,-2.859998251876160000000000000000E+00,-2.859998254710020000000000000000E+00
8.424242424242420000000000000000E-01,-2.859482005843760000000000000000E+00,-2.851081537805940000000000000000E+00,-2.860232916957530000000000000000E+00,-2.860232919046530000000000000000E+00
8.454545454545450000000000000000E-01,-2.859384901093780000000000000000E+00,-2.851330592363680000000000000000E+00,-2.860455293131610000000000000000E+00,-2.860455294601430000000000000000E+00
8.484848484848480000000000000000E-01,-2.858711697628270000000000000000E+00,-2.851568039553630000000000000000E+00,-2.860665626772030000000000000000E+00,-2.860665627740620000000000000000E+00
8.515151515151510000000000000000E-01,-2.860496069322210000000000000000E+00,-2.851794117758930000000000000000E+00,-2.860864159858730000000000000000E+00,-2.860864160434520000000000000000E+00
8.545454545454540000000000000000E-01,-2.859993106977910000000000000000E+00,-2.852009060986500000000000000000E+00,-2.861051130049470000000000000000E+00,-2.861051130350290000000000000000E+00
8.575757575757570000000000000000E-01,-2.859963292638090000000000000000E+00,-2.852213098957540000000000000000E+00,-2.861226770808460000000000000000E+00,-2.861226770941750000000000000000E+00
8.606060606060600000000000000000E-01,-2.860232871441020000000000000000E+00,-2.852406457195940000000000000000E+00,-2.861391311460900000000000000000E+00,-2.861391311537050000000000000000E+00
8.636363636363630000000000000000E-01,-2.859808323194800000000000000000E+00,-2.852589357114460000000000000000E+00,-2.861544977299680000000000000000E+00,-2.861544977424210000000000000000E+00
8.666666666666660000000000000000E-01,-2.860318853410720000000000000000E+00,-2.852762016098760000000000000000E+00,-2.861687989655810000000000000000E+00,-2.861687989934450000000000000000E+00
8.696969696969690000000000000000E-01,-2.860997754394590000000000000000E+00,-2.852924647589440000000000000000E+00,-2.861820565992220000000000000000E+00,-2.861820566523440000000000000000E+00
8.727272727272720000000000000000E-01,-2.859907800109090000000000000000E+00,-2.853077461162040000000000000000E+00,-2.861942919965650000000000000000E+00,-2.861942920850590000000000000000E+00
8.757575757575750000000000000000E-01,-2.860925318079130000000000000000E+00,-2.853220662605080000000000000000E+00,-2.862055261524590000000000000000E+00,-2.862055262856260000000000000000E+00
8.787878787878780000000000000000E-01,-2.861378420554930000000000000000E+00,-2.853354453996140000000000000000E+00,-2.862157796961300000000000000000E+00,-2.862157798837040000000000000000E+00
8.818181818181810000000000000000E-01,-2.862388283323600000000000000000E+00,-2.853479033776120000000000000000E+00,-2.862250729016660000000000000000E+00,-2.862250731519150000000000000000E+00
8.848484848484840000000000000000E-01,-2.861649391958510000000000000000E+00,-2.853594596821670000000000000000E+00,-2.862334256895240000000000000000E+00,-2.862334260130030000000000000000E+00
8.878787878787870000000000000000E-01,-2.861292128895990000000000000000E+00,-2.853701334515800000000000000000E+00,-2.862408576432910000000000000000E+00,-2.862408580468000000000000000000E+00
8.909090909090900000000000000000E-01,-2.862007242834320000000000000000E+00,-2.853799434816780000000000000000E+00,-2.862473880033490000000000000000E+00,-2.862473884970290000000000000000E+00
8.939393939393940000000000000000E-01,-2.860323001394090000000000000000E+00,-2.853889082325340000000000000000E+00,-2.862530356862540000000000000000E+00,-2.862530362779220000000000000000E+00
8.969696969696960000000000000000E-01,-2.862114861177390000000000000000E+00,-2.853970458350220000000000000000E+00,-2.862578192837040000000000000000E+00,-2.862578199806830000000000000000E+00
9.000000000000000000000000000000E-01,-2.861577569689140000000000000000E+00,-2.854043740972120000000000000000E+00,-2.862617570718500000000000000000E+00,-2.862617578797780000000000000000E+00
9.030303030303030000000000000000E-01,-2.862377724409270000000000000000E+00,-2.854109105106060000000000000000E+00,-2.862648595641540000000000000000E+00,-2.862648679390660000000000000000E+00
9.060606060606060000000000000000E-01,-2.861930012555890000000000000000E+00,-2.854166722562210000000000000000E+00,-2.862671594727810000000000000000E+00,-2.862671678177820000000000000000E+00
9.090909090909090000000000000000E-01,-2.861785056917370000000000000000E+00,-2.854216762105290000000000000000E+00,-2.862686665588940000000000000000E+00,-2.862686748763600000000000000000E+00
9.121212121212120000000000000000E-01,-2.861749914057440000000000000000E+00,-2.854259389512450000000000000000E+00,-2.862693978958510000000000000000E+00,-2.862694061821140000000000000000E+00
9.151515151515150000000000000000E-01,-2.861396324045320000000000000000E+00,-2.854294767629760000000000000000E+00,-2.862693702598970000000000000000E+00,-2.862693785147700000000000000000E+00
9.181818181818180000000000000000E-01,-2.860974933608480000000000000000E+00,-2.854323056427370000000000000000E+00,-2.862686001533780000000000000000E+00,-2.862686083718610000000000000000E+00
9.212121212121210000000000000000E-01,-2.861756562205370000000000000000E+00,-2.854344413053270000000000000000E+00,-2.862671037965920000000000000000E+00,-2.862671119739930000000000000000E+00
9.242424242424240000000000000000E-01,-2.862151533677480000000000000000E+00,-2.854358991885790000000000000000E+00,-2.862648971335230000000000000000E+00,-2.862649052699650000000000000000E+00
9.272727272727270000000000000000E-01,-2.861102898093160000000000000000E+00,-2.854366944584850000000000000000E+00,-2.862619958487640000000000000000E+00,-2.862620039417670000000000000000E+00
9.303030303030300000000000000000E-01,-2.860133937081950000000000000000E+00,-2.854368420141950000000000000000E+00,-2.862584153608030000000000000000E+00,-2.862584234094570000000000000000E+00
