R_AB,E_VQE_sim_id,E_HF,E_qiskit_tot,E_exacta
8.000000000000000000000000000000E-01,-2.855309866401770000000000000000E+00,-2.846231250354710000000000000000E+00,-2.855708602864940000000000000000E+00,-2.855708627228010000000000000000E+00
8.030303030303030000000000000000E-01,-2.854723195884960000000000000000E+00,-2.846670524905280000000000000000E+00,-2.856127626052440000000000000000E+00,-2.856127647928450000000000000000E+00
8.060606060606060000000000000000E-01,-2.855865271952630000000000000000E+00,-2.847094338785410000000000000000E+00,-2.856530711120310000000000000000E+00,-2.856530730652890000000000000000E+00
8.090909090909090000000000000000E-01,-2.856076108609310000000000000000E+00,-2.847503002520470000000000000000E+00,-2.856918171120250000000000000000E+00,-2.856918188438140000000000000000E+00
8.121212121212120000000000000000E-01,-2.857784620024560000000000000000E+00,-2.847896820729220000000000000000E+00,-2.857290313224740000000000000000E+00,-2.857290328493970000000000000000E+00
8.151515151515150000000000000000E-01,-2.857952407137580000000000000000E+00,-2.848276092251110000000000000000E+00,-2.857647438986830000000000000000E+00,-2.857647452330080000000000000000E+00
8.181818181818180000000000000000E-01,-2.855315925387370000000000000000E+00,-2.848641110270600000000000000000E+00,-2.857989844305220000000000000000E+00,-2.857989855880030000000000000000E+00
8.212121212121210000000000000000E-01,-2.858396681098270000000000000000E+00,-2.848992162438430000000000000000E+00,-2.858317819687720000000000000000E+00,-2.858317829622200000000000000000E+00
8.242424242424240000000000000000E-01,-2.856895884528450000000000000000E+00,-2.849329530990200000000000000000E+00,-2.858631650269420000000000000000E+00,-2.858631658697850000000000000000E+00
8.272727272727270000000000000000E-01,-2.857312983414380000000000000000E+00,-2.849653492861850000000000000000E+00,-2.858931615978950000000000000000E+00,-2.858931623026310000000000000000E+00
8.303030303030300000000000000000E-01,-2.857890487636060000000000000000E+00,-2.849964319802710000000000000000E+00,-2.859217991612020000000000000000E+00,-2.859217997417500000000000000000E+00
8.333333333333330000000000000000E-01,-2.858875184608700000000000000000E+00,-2.850262278485530000000000000000E+00,-2.859491046993560000000000000000E+00,-2.859491051681570000000000000000E+00
8.363636363636360000000000000000E-01,-2.858853716903570000000000000000E+00,-2.850547630614120000000000000000E+00,-2.859751047040030000000000000000E+00,-2.859751050736000000000000000000E+00
8.393939393939390000000000000000E-01,-2.860427314948960000000000000000E+00,-2.850820633028230000000000000000E+00,-2.859998251876160000000000000000E+00,-2.859998254710020000000000000000E+00
8.424242424242420000000000000000E-01,-2.859848067093090000000000000000E+00,-2.851081537805940000000000000000E+00,-2.860232916957530000000000000000E+00,-2.860232919046530000000000000000E+00
8.454545454545450000000000000000E-01,-2.858527829964250000000000000000E+00,-2.851330592363680000000000000000E+00,-2.860455293131610000000000000000E+00,-2.860455294601430000000000000000E+00
8.484848484848480000000000000000E-01,-2.860105669968220000000000000000E+00,-2.851568039553630000000000000000E+00,-2.860665626772030000000000000000E+00,-2.860665627740620000000000000000E+00
8.515151515151510000000000000000E-01,-2.859131755881810000000000000000E+00,-2.851794117758930000000000000000E+00,-2.860864159858730000000000000000E+00,-2.860864160434520000000000000000E+00
8.545454545454540000000000000000E-01,-2.860360989391450000000000000000E+00,-2.852009060986500000000000000000E+00,-2.861051130049470000000000000000E+00,-2.861051130350290000000000000000E+00
8.575757575757570000000000000000E-01,-2.860958941348010000000000000000E+00,-2.852213098957540000000000000000E+00,-2.861226770808460000000000000000E+00,-2.861226770941750000000000000000E+00
8.606060606060600000000000000000E-01,-2.860768704885020000000000000000E+00,-2.852406457195940000000000000000E+00,-2.861391311460900000000000000000E+00,-2.861391311537050000000000000000E+00
8.636363636363630000000000000000E-01,-2.861031231195800000000000000000E+00,-2.852589357114460000000000000000E+00,-2.861544977299680000000000000000E+00,-2.861544977424210000000000000000E+00
8.666666666666660000000000000000E-01,-2.861492729558240000000000000000E+00,-2.852762016098760000000000000000E+00,-2.861687989655810000000000000000E+00,-2.861687989934450000000000000000E+00
8.696969696969690000000000000000E-01,-2.861411361384720000000000000000E+00,-2.852924647589440000000000000000E+00,-2.861820565992220000000000000000E+00,-2.861820566523440000000000000000E+00
8.727272727272720000000000000000E-01,-2.860115270042660000000000000000E+00,-2.853077461162040000000000000000E+00,-2.861942919965650000000000000000E+00,-2.861942920850590000000000000000E+00
8.757575757575750000000000000000E-01,-2.860134437855550000000000000000E+00,-2.853220662605080000000000000000E+00,-2.862055261524590000000000000000E+00,-2.862055262856260000000000000000E+00
8.787878787878780000000000000000E-01,-2.861127501863900000000000000000E+00,-2.853354453996140000000000000000E+00,-2.862157796961300000000000000000E+00,-2.862157798837040000000000000000E+00
8.818181818181810000000000000000E-01,-2.861945506258440000000000000000E+00,-2.853479033776120000000000000000E+00,-2.862250729016660000000000000000E+00,-2.862250731519150000000000000000E+00
8.848484848484840000000000000000E-01,-2.860074430353650000000000000000E+00,-2.853594596821670000000000000000E+00,-2.862334256895240000000000000000E+00,-2.862334260130030000000000000000E+00
8.878787878787870000000000000000E-01,-2.860800322175070000000000000000E+00,-2.853701334515800000000000000000E+00,-2.862408576432910000000000000000E+00,-2.862408580468000000000000000000E+00
8.909090909090900000000000000000E-01,-2.860551101570860000000000000000E+00,-2.853799434816780000000000000000E+00,-2.862473880033490000000000000000E+00,-2.862473884970290000000000000000E+00
8.939393939393940000000000000000E-01,-2.861250893208920000000000000000E+00,-2.853889082325340000000000000000E+00,-2.862530356862540000000000000000E+00,-2.862530362779220000000000000000E+00
8.969696969696960000000000000000E-01,-2.861615957343130000000000000000E+00,-2.853970458350220000000000000000E+00,-2.862578192837040000000000000000E+00,-2.862578199806830000000000000000E+00
9.000000000000000000000000000000E-01,-2.862135219269490000000000000000E+00,-2.854043740972120000000000000000E+00,-2.862617570718500000000000000000E+00,-2.862617578797780000000000000000E+00
9.030303030303030000000000000000E-01,-2.861885751159440000000000000000E+00,-2.854109105106060000000000000000E+00,-2.862648595641540000000000000000E+00,-2.862648679390660000000000000000E+00
9.060606060606060000000000000000E-01,-2.862441931022420000000000000000E+00,-2.854166722562210000000000000000E+00,-2.862671594727810000000000000000E+00,-2.862671678177820000000000000000E+00
9.090909090909090000000000000000E-01,-2.862051930355140000000000000000E+00,-2.854216762105290000000000000000E+00,-2.862686665588940000000000000000E+00,-2.862686748763600000000000000000E+00
9.121212121212120000000000000000E-01,-2.861442081485670000000000000000E+00,-2.854259389512450000000000000000E+00,-2.862693978958510000000000000000E+00,-2.862694061821140000000000000000E+00
9.151515151515150000000000000000E-01,-2.861790337497830000000000000000E+00,-2.854294767629760000000000000000E+00,-2.862693702598970000000000000000E+00,-2.862693785147700000000000000000E+00
9.181818181818180000000000000000E-01,-2.861743008241940000000000000000E+00,-2.854323056427370000000000000000E+00,-2.862686001533780000000000000000E+00,-2.862686083718610000000000000000E+00
9.212121212121210000000000000000E-01,-2.861057961020610000000000000000E+00,-2.854344413053270000000000000000E+00,-2.862671037965920000000000000000E+00,-2.862671119739930000000000000000E+00
9.242424242424240000000000000000E-01,-2.860646268455840000000000000000E+00,-2.854358991885790000000000000000E+00,-2.862648971335230000000000000000E+00,-2.862649052699650000000000000000E+00
9.272727272727270000000000000000E-01,-2.861087839039460000000000000000E+00,-2.854366944584850000000000000000E+00,-2.862619958487640000000000000000E+00,-2.862620039417670000000000000000E+00
9.303030303030300000000000000000E-01,-2.861576688889200000000000000000E+00,-2.854368420141950000000000000000E+00,-2.862584153608030000000000000000E+00,-2.862584234094570000000000000000E+00
9.333333333333330000000000000000E-01,-2.862551433552470000000000000000E+00,-2.854363564928950000000000000000E+00,-2.862541708353100000000000000000E+00,-2.862541788359050000000000000000E+00
9.363636363636360000000000000000E-01,-2.861303825098740000000000000000E+00,-2.854352522745760000000000000000E+00,-2.862492771784570000000000000000E+00,-2.862492851314300000000000000000E+00
9.393939393939390000000000000000E-01,-2.862243729548910000000000000000E+00,-2.854335434866850000000000000000E+00,-2.862437490547220000000000000000E+00,-2.862437569583170000000000000000E+00
9.424242424242420000000000000000E-01,-2.859803882105130000000000000000E+00,-2.854312440086630000000000000000E+00,-2.862376008868710000000000000000E+00,-2.862376087352180000000000000000E+00
9.454545454545450000000000000000E-01,-2.861496376298250000000000000000E+00,-2.854283674763870000000000000000E+00,-2.862308468543960000000000000000E+00,-2.862308546414490000000000000000E+00
9.484848484848480000000000000000E-01,-2.860930011179210000000000000000E+00,-2.854249272864970000000000000000E+00,-2.862235008873010000000000000000E+00,-2.862235086211850000000000000000E+00
9.515151515151510000000000000000E-01,-2.861246318224950000000000000000E+00,-2.854209366006300000000000000000E+00,-2.862155767119790000000000000000E+00,-2.862155843875410000000000000000E+00
9.545454545454540000000000000000E-01,-2.860506224429910000000000000000E+00,-2.854164083491860000000000000000E+00,-2.862070878169620000000000000000E+00,-2.862070954265660000000000000000E+00
9.575757575757570000000000000000E-01,-2.861071640108040000000000000000E+00,-2.854113552368540000000000000000E+00,-2.861980474525900000000000000000E+00,-2.861980550011300000000000000000E+00
9.606060606060600000000000000000E-01,-2.860819123033220000000000000000E+00,-2.854057897443120000000000000000E+00,-2.861884686763280000000000000000E+00,-2.861884761547270000000000000000E+00
9.636363636363630000000000000000E-01,-2.861386065836350000000000000000E+00,-2.853997241335950000000000000000E+00,-2.861783642989220000000000000000E+00,-2.861783717151760000000000000000E+00
9.666666666666660000000000000000E-01,-2.861311241355010000000000000000E+00,-2.853931704514860000000000000000E+00,-2.861677469505650000000000000000E+00,-2.861677542982460000000000000000E+00
9.696969696969690000000000000000E-01,-2.860544303161880000000000000000E+00,-2.853861405332050000000000000000E+00,-2.861566290317310000000000000000E+00,-2.861566363111810000000000000000E+00
9.727272727272720000000000000000E-01,-2.859422857090700000000000000000E+00,-2.853786460060160000000000000000E+00,-2.861450227527140000000000000000E+00,-2.861450299561550000000000000000E+00
9.757575757575750000000000000000E-01,-2.859465774482870000000000000000E+00,-2.853706982927520000000000000000E+00,-2.861329401052860000000000000000E+00,-2.861329472336420000000000000000E+00
9.787878787878780000000000000000E-01,-2.859310598714620000000000000000E+00,-2.853623086152690000000000000000E+00,-2.861203928879180000000000000000E+00,-2.861203999457060000000000000000E+00
9.818181818181810000000000000000E-01,-2.859750040826160000000000000000E+00,-2.853534879978220000000000000000E+00,-2.861073927188110000000000000000E+00,-2.861073996992140000000000000000E+00
9.848484848484840000000000000000E-01,-2.859402557769490000000000000000E+00,-2.853442472703660000000000000000E+00,-2.860939510086140000000000000000E+00,-2.860939579089840000000000000000E+00
9.878787878787870000000000000000E-01,-2.860186335178770000000000000000E+00,-2.853345970717920000000000000000E+00,-2.860800789811290000000000000000E+00,-2.860800858008520000000000000000E+00
9.909090909090900000000000000000E-01,-2.859479356542670000000000000000E+00,-2.853245478530970000000000000000E+00,-2.860657876742060000000000000000E+00,-2.860657944146750000000000000000E+00
9.939393939393940000000000000000E-01,-2.860945701891300000000000000000E+00,-2.853141098804800000000000000000E+00,-2.860510879474530000000000000000E+00,-2.860510946072680000000000000000E+00
9.969696969696970000000000000000E-01,-2.857719294914350000000000000000E+00,-2.853032932383820000000000000000E+00,-2.860359904776450000000000000000E+00,-2.860359970552750000000000000000E+00
1.000000000000000000000000000000E+00,-2.859002325500090000000000000000E+00,-2.852921078324590000000000000000E+00,-2.860205057651330000000000000000E+00,-2.860205122579800000000000000000E+00
1.003030303030300000000000000000E+00,-2.859147791522750000000000000000E+00,-2.852805633925020000000000000000E+00,-2.860046441317200000000000000000E+00,-2.860046505400530000000000000000E+00
1.006060606060600000000000000000E+00,-2.859885940246270000000000000000E+00,-2.852686694752900000000000000000E+00,-2.859884157324630000000000000000E+00,-2.859884220542420000000000000000E+00
1.009090909090900000000000000000E+00,-2.858684480446260000000000000000E+00,-2.852564354673920000000000000000E+00,-2.859718305493030000000000000000E+00,-2.859718367840030000000000000000E+00
1.012121212121210000000000000000E+00,-2.859520449948600000000000000000E+00,-2.852438705879150000000000000000E+00,-2.859548983993660000000000000000E+00,-2.859549045460850000000000000000E+00
1.015151515151510000000000000000E+00,-2.857200204714370000000000000000E+00,-2.852309838911950000000000000000E+00,-2.859376289339270000000000000000E+00,-2.859376349930470000000000000000E+00
1.018181818181810000000000000000E+00,-2.859313819650050000000000000000E+00,-2.852177842694420000000000000000E+00,-2.859200316457630000000000000000E+00,-2.859200376157370000000000000000E+00
1.021212121212120000000000000000E+00,-2.858182754142030000000000000000E+00,-2.852042804553300000000000000000E+00,-2.859021158669250000000000000000E+00,-2.859021217457170000000000000000E+00
1.024242424242420000000000000000E+00,-2.858583563881430000000000000000E+00,-2.851904810245400000000000000000E+00,-2.858838907650570000000000000000E+00,-2.858838965576350000000000000000E+00
1.027272727272720000000000000000E+00,-2.857234846541830000000000000000E+00,-2.851763943982630000000000000000E+00,-2.858653653732540000000000000000E+00,-2.858653710715590000000000000000E+00
1.030303030303030000000000000000E+00,-2.856661017660100000000000000000E+00,-2.851620288456430000000000000000E+00,-2.858465485460800000000000000000E+00,-2.858465541552580000000000000000E+00
1.033333333333330000000000000000E+00,-2.858557520704940000000000000000E+00,-2.851473924861920000000000000000E+00,-2.858274490093390000000000000000E+00,-2.858274545264430000000000000000E+00
1.036363636363630000000000000000E+00,-2.856723992709490000000000000000E+00,-2.851324932921490000000000000000E+00,-2.858080753316950000000000000000E+00,-2.858080807549670000000000000000E+00
1.039393939393930000000000000000E+00,-2.856033723102180000000000000000E+00,-2.851173390908060000000000000000E+00,-2.857884359312240000000000000000E+00,-2.857884412649830000000000000000E+00
1.042424242424240000000000000000E+00,-2.856914238791490000000000000000E+00,-2.851019375667920000000000000000E+00,-2.857685390974550000000000000000E+00,-2.857685443370590000000000000000E+00
1.045454545454540000000000000000E+00,-2.856450821251780000000000000000E+00,-2.850862962643120000000000000000E+00,-2.857483929625690000000000000000E+00,-2.857483981102590000000000000000E+00
1.048484848484840000000000000000E+00,-2.854811116026840000000000000000E+00,-2.850704225893550000000000000000E+00,-2.857280055322590000000000000000E+00,-2.857280105841870000000000000000E+00
1.051515151515150000000000000000E+00,-2.854594945824710000000000000000E+00,-2.850543238118630000000000000000E+00,-2.857073846606460000000000000000E+00,-2.857073896209910000000000000000E+00
1.054545454545450000000000000000E+00,-2.854752491546920000000000000000E+00,-2.850380070678630000000000000000E+00,-2.856865380794070000000000000000E+00,-2.856865429473390000000000000000E+00
1.057575757575750000000000000000E+00,-2.855403862391140000000000000000E+00,-2.850214793615610000000000000000E+00,-2.856654733788800000000000000000E+00,-2.856654781563520000000000000000E+00
1.060606060606060000000000000000E+00,-2.855365168750710000000000000000E+00,-2.850047475674110000000000000000E+00,-2.856441980285510000000000000000E+00,-2.856442027095120000000000000000E+00
1.063636363636360000000000000000E+00,-2.855397054034630000000000000000E+00,-2.849878184321380000000000000000E+00,-2.856227193466150000000000000000E+00,-2.856227239385350000000000000000E+00
1.066666666666660000000000000000E+00,-2.855485777727130000000000000000E+00,-2.849706985767420000000000000000E+00,-2.856010445519000000000000000000E+00,-2.856010490472150000000000000000E+00
1.069696969696960000000000000000E+00,-2.855051854961810000000000000000E+00,-2.849533944984620000000000000000E+00,-2.855791807049110000000000000000E+00,-2.855791851132360000000000000000E+00
1.072727272727270000000000000000E+00,-2.855136252021890000000000000000E+00,-2.849359125727120000000000000000E+00,-2.855571347747970000000000000000E+00,-2.855571390899570000000000000000E+00
1.075757575757570000000000000000E+00,-2.855123802996090000000000000000E+00,-2.849182590549860000000000000000E+00,-2.855349135821640000000000000000E+00,-2.855349178081700000000000000000E+00
1.078787878787870000000000000000E+00,-2.852512771700420000000000000000E+00,-2.849004400827370000000000000000E+00,-2.855125238445010000000000000000E+00,-2.855125279778230000000000000000E+00
1.081818181818180000000000000000E+00,-2.853875758216210000000000000000E+00,-2.848824616772220000000000000000E+00,-2.854899721469210000000000000000E+00,-2.854899761897330000000000000000E+00
1.084848484848480000000000000000E+00,-2.853461555269380000000000000000E+00,-2.848643297453280000000000000000E+00,-2.854672649636410000000000000000E+00,-2.854672689172540000000000000000E+00
1.087878787878780000000000000000E+00,-2.854348547312820000000000000000E+00,-2.848460500813630000000000000000E+00,-2.854444086565470000000000000000E+00,-2.854444125179320000000000000000E+00
1.090909090909090000000000000000E+00,-2.853646740653500000000000000000E+00,-2.848276283688220000000000000000E+00,-2.854214094584540000000000000000E+00,-2.854214132351380000000000000000E+00
1.093939393939390000000000000000E+00,-2.853891562746320000000000000000E+00,-2.848090701821310000000000000000E+00,-2.853982735104210000000000000000E+00,-2.853982771996620000000000000000E+00
1.096969696969690000000000000000E+00,-2.854056705545180000000000000000E+00,-2.847903809883650000000000000000E+00,-2.853750068304220000000000000000E+00,-2.853750104313060000000000000000E+00
1.100000000000000000000000000000E+00,-2.852021122669280000000000000000E+00,-2.847715661489360000000000000000E+00,-2.853516153261570000000000000000E+00,-2.853516188404370000000000000000E+00
