R_AB,E_VQE_sim_hard,E_HF,E_qiskit_tot,E_exacta
8.000000000000000000000000000000E-01,-1.124235146209000000000000000000E+00,-2.846231250354710000000000000000E+00,-2.855708602864940000000000000000E+00,-2.855708627228010000000000000000E+00
8.030303030303030000000000000000E-01,-1.122092250252530000000000000000E+00,-2.846670524905280000000000000000E+00,-2.856127626052440000000000000000E+00,-2.856127647928450000000000000000E+00
8.060606060606060000000000000000E-01,-1.122093230876050000000000000000E+00,-2.847094338785410000000000000000E+00,-2.856530711120310000000000000000E+00,-2.856530730652890000000000000000E+00
8.090909090909090000000000000000E-01,-1.118641785531970000000000000000E+00,-2.847503002520470000000000000000E+00,-2.856918171120250000000000000000E+00,-2.856918188438140000000000000000E+00
8.121212121212120000000000000000E-01,-1.556422348959770000000000000000E+00,-2.847896820729220000000000000000E+00,-2.857290313224740000000000000000E+00,-2.857290328493970000000000000000E+00
8.151515151515150000000000000000E-01,-1.126591635211840000000000000000E+00,-2.848276092251110000000000000000E+00,-2.857647438986830000000000000000E+00,-2.857647452330080000000000000000E+00
8.181818181818180000000000000000E-01,-1.588280460935460000000000000000E+00,-2.848641110270600000000000000000E+00,-2.857989844305220000000000000000E+00,-2.857989855880030000000000000000E+00
8.212121212121210000000000000000E-01,-1.134257313927400000000000000000E+00,-2.848992162438430000000000000000E+00,-2.858317819687720000000000000000E+00,-2.858317829622200000000000000000E+00
8.242424242424240000000000000000E-01,-1.142150925688420000000000000000E+00,-2.849329530990200000000000000000E+00,-2.858631650269420000000000000000E+00,-2.858631658697850000000000000000E+00
8.272727272727270000000000000000E-01,-1.140507297247260000000000000000E+00,-2.849653492861850000000000000000E+00,-2.858931615978950000000000000000E+00,-2.858931623026310000000000000000E+00
8.303030303030300000000000000000E-01,-1.140881882566630000000000000000E+00,-2.849964319802710000000000000000E+00,-2.859217991612020000000000000000E+00,-2.859217997417500000000000000000E+00
8.333333333333330000000000000000E-01,-1.158449398355540000000000000000E+00,-2.850262278485530000000000000000E+00,-2.859491046993560000000000000000E+00,-2.859491051681570000000000000000E+00
8.363636363636360000000000000000E-01,-1.151443139192940000000000000000E+00,-2.850547630614120000000000000000E+00,-2.859751047040030000000000000000E+00,-2.859751050736000000000000000000E+00
8.393939393939390000000000000000E-01,-1.607390226754490000000000000000E+00,-2.850820633028230000000000000000E+00,-2.859998251876160000000000000000E+00,-2.859998254710020000000000000000E+00
8.424242424242420000000000000000E-01,-1.150588440189000000000000000000E+00,-2.851081537805940000000000000000E+00,-2.860232916957530000000000000000E+00,-2.860232919046530000000000000000E+00
8.454545454545450000000000000000E-01,-1.149828606687050000000000000000E+00,-2.851330592363680000000000000000E+00,-2.860455293131610000000000000000E+00,-2.860455294601430000000000000000E+00
8.484848484848480000000000000000E-01,-1.151845113859270000000000000000E+00,-2.851568039553630000000000000000E+00,-2.860665626772030000000000000000E+00,-2.860665627740620000000000000000E+00
8.515151515151510000000000000000E-01,-1.149529495326170000000000000000E+00,-2.851794117758930000000000000000E+00,-2.860864159858730000000000000000E+00,-2.860864160434520000000000000000E+00
8.545454545454540000000000000000E-01,-1.155580436377030000000000000000E+00,-2.852009060986500000000000000000E+00,-2.861051130049470000000000000000E+00,-2.861051130350290000000000000000E+00
8.575757575757570000000000000000E-01,-1.160143047609490000000000000000E+00,-2.852213098957540000000000000000E+00,-2.861226770808460000000000000000E+00,-2.861226770941750000000000000000E+00
8.606060606060600000000000000000E-01,-1.167349997420700000000000000000E+00,-2.852406457195940000000000000000E+00,-2.861391311460900000000000000000E+00,-2.861391311537050000000000000000E+00
8.636363636363630000000000000000E-01,-1.164399763943660000000000000000E+00,-2.852589357114460000000000000000E+00,-2.861544977299680000000000000000E+00,-2.861544977424210000000000000000E+00
8.666666666666660000000000000000E-01,-1.161076316057030000000000000000E+00,-2.852762016098760000000000000000E+00,-2.861687989655810000000000000000E+00,-2.861687989934450000000000000000E+00
8.696969696969690000000000000000E-01,-1.164141598631140000000000000000E+00,-2.852924647589440000000000000000E+00,-2.861820565992220000000000000000E+00,-2.861820566523440000000000000000E+00
8.727272727272720000000000000000E-01,-1.170976521587620000000000000000E+00,-2.853077461162040000000000000000E+00,-2.861942919965650000000000000000E+00,-2.861942920850590000000000000000E+00
8.757575757575750000000000000000E-01,-1.602235780392710000000000000000E+00,-2.853220662605080000000000000000E+00,-2.862055261524590000000000000000E+00,-2.862055262856260000000000000000E+00
8.787878787878780000000000000000E-01,-1.180382338577340000000000000000E+00,-2.853354453996140000000000000000E+00,-2.862157796961300000000000000000E+00,-2.862157798837040000000000000000E+00
8.818181818181810000000000000000E-01,-1.184278868151400000000000000000E+00,-2.853479033776120000000000000000E+00,-2.862250729016660000000000000000E+00,-2.862250731519150000000000000000E+00
8.848484848484840000000000000000E-01,-1.177125822852060000000000000000E+00,-2.853594596821670000000000000000E+00,-2.862334256895240000000000000000E+00,-2.862334260130030000000000000000E+00
8.878787878787870000000000000000E-01,-1.186177126087320000000000000000E+00,-2.853701334515800000000000000000E+00,-2.862408576432910000000000000000E+00,-2.862408580468000000000000000000E+00
8.909090909090900000000000000000E-01,-1.179336929982040000000000000000E+00,-2.853799434816780000000000000000E+00,-2.862473880033490000000000000000E+00,-2.862473884970290000000000000000E+00
8.939393939393940000000000000000E-01,-1.560496617873240000000000000000E+00,-2.853889082325340000000000000000E+00,-2.862530356862540000000000000000E+00,-2.862530362779220000000000000000E+00
8.969696969696960000000000000000E-01,-1.189493208925000000000000000000E+00,-2.853970458350220000000000000000E+00,-2.862578192837040000000000000000E+00,-2.862578199806830000000000000000E+00
9.000000000000000000000000000000E-01,-1.182966425442120000000000000000E+00,-2.854043740972120000000000000000E+00,-2.862617570718500000000000000000E+00,-2.862617578797780000000000000000E+00
9.030303030303030000000000000000E-01,-1.278166299699610000000000000000E+00,-2.854109105106060000000000000000E+00,-2.862648595641540000000000000000E+00,-2.862648679390660000000000000000E+00
9.060606060606060000000000000000E-01,-1.669563397178560000000000000000E+00,-2.854166722562210000000000000000E+00,-2.862671594727810000000000000000E+00,-2.862671678177820000000000000000E+00
9.090909090909090000000000000000E-01,-1.194992238736440000000000000000E+00,-2.854216762105290000000000000000E+00,-2.862686665588940000000000000000E+00,-2.862686748763600000000000000000E+00
9.121212121212120000000000000000E-01,-1.190646987998340000000000000000E+00,-2.854259389512450000000000000000E+00,-2.862693978958510000000000000000E+00,-2.862694061821140000000000000000E+00
9.151515151515150000000000000000E-01,-1.204153624826660000000000000000E+00,-2.854294767629760000000000000000E+00,-2.862693702598970000000000000000E+00,-2.862693785147700000000000000000E+00
9.181818181818180000000000000000E-01,-1.200772768522600000000000000000E+00,-2.854323056427370000000000000000E+00,-2.862686001533780000000000000000E+00,-2.862686083718610000000000000000E+00
9.212121212121210000000000000000E-01,-1.206186495135460000000000000000E+00,-2.854344413053270000000000000000E+00,-2.862671037965920000000000000000E+00,-2.862671119739930000000000000000E+00
9.242424242424240000000000000000E-01,-1.215870051987280000000000000000E+00,-2.854358991885790000000000000000E+00,-2.862648971335230000000000000000E+00,-2.862649052699650000000000000000E+00
9.272727272727270000000000000000E-01,-1.705239218458520000000000000000E+00,-2.854366944584850000000000000000E+00,-2.862619958487640000000000000000E+00,-2.862620039417670000000000000000E+00
9.303030303030300000000000000000E-01,-1.207187904210410000000000000000E+00,-2.854368420141950000000000000000E+00,-2.862584153608030000000000000000E+00,-2.862584234094570000000000000000E+00
9.333333333333330000000000000000E-01,-1.211312215128960000000000000000E+00,-2.854363564928950000000000000000E+00,-2.862541708353100000000000000000E+00,-2.862541788359050000000000000000E+00
9.363636363636360000000000000000E-01,-1.219627354480410000000000000000E+00,-2.854352522745760000000000000000E+00,-2.862492771784570000000000000000E+00,-2.862492851314300000000000000000E+00
9.393939393939390000000000000000E-01,-1.224916675301510000000000000000E+00,-2.854335434866850000000000000000E+00,-2.862437490547220000000000000000E+00,-2.862437569583170000000000000000E+00
9.424242424242420000000000000000E-01,-1.218456984914550000000000000000E+00,-2.854312440086630000000000000000E+00,-2.862376008868710000000000000000E+00,-2.862376087352180000000000000000E+00
